date,rain_mm,district,state
2000-12-19,0.0,Cuttack,Odisha
2000-12-20,0.0,Cuttack,Odisha
2000-12-21,0.0,Cuttack,Odisha
2000-12-22,0.0,Cuttack,Odisha
2000-12-23,0.0,Cuttack,Odisha
2000-12-24,0.0,Cuttack,Odisha
2000-12-25,0.0,Cuttack,Odisha
2000-12-26,0.0,Cuttack,Odisha
2000-12-27,0.0,Cuttack,Odisha
2000-12-28,0.0,Cuttack,Odisha
2000-12-29,0.0,Cuttack,Odisha
2000-12-30,0.0,Cuttack,Odisha
2000-12-31,0.0,Cuttack,Odisha
2001-01-01,0.0,Cuttack,Odisha
2001-01-02,0.0,Cuttack,Odisha
2001-01-03,0.0,Cuttack,Odisha
2001-01-04,0.0,Cuttack,Odisha
2001-01-05,0.0,Cuttack,Odisha
2001-01-06,0.0,Cuttack,Odisha
2001-01-07,0.0,Cuttack,Odisha
2001-01-08,0.0,Cuttack,Odisha
2001-01-09,0.0,Cuttack,Odisha
2001-01-10,0.0,Cuttack,Odisha
2001-01-11,0.0,Cuttack,Odisha
2001-01-12,0.0,Cuttack,Odisha
2001-01-13,0.0,Cuttack,Odisha
2001-01-14,0.0,Cuttack,Odisha
2001-01-15,0.0,Cuttack,Odisha
2001-01-16,0.0,Cuttack,Odisha
2001-01-17,0.0,Cuttack,Odisha
2001-01-18,0.0,Cuttack,Odisha
2001-01-19,0.0,Cuttack,Odisha
2001-01-20,0.0,Cuttack,Odisha
2001-01-21,0.0,Cuttack,Odisha
2001-01-22,0.0,Cuttack,Odisha
2001-01-23,0.0,Cuttack,Odisha
2001-01-24,0.0,Cuttack,Odisha
2001-01-25,0.0,Cuttack,Odisha
2001-01-26,0.0,Cuttack,Odisha
2001-01-27,0.0,Cuttack,Odisha
2001-01-28,0.0,Cuttack,Odisha
2001-01-29,0.0,Cuttack,Odisha
2001-01-30,0.0,Cuttack,Odisha
2001-01-31,0.0,Cuttack,Odisha
2001-02-01,0.0,Cuttack,Odisha
2001-02-02,0.0,Cuttack,Odisha
2001-02-03,0.0,Cuttack,Odisha
2001-02-04,0.0,Cuttack,Odisha
2001-02-05,0.0,Cuttack,Odisha
2001-02-06,0.0,Cuttack,Odisha
2001-02-07,0.0,Cuttack,Odisha
2001-02-08,0.0,Cuttack,Odisha
2001-02-09,0.0,Cuttack,Odisha
2001-02-10,0.0,Cuttack,Odisha
2001-02-11,0.0,Cuttack,Odisha
2001-02-12,0.0,Cuttack,Odisha
2001-02-13,0.0,Cuttack,Odisha
2001-02-14,0.0,Cuttack,Odisha
2001-02-15,0.0,Cuttack,Odisha
2001-02-16,0.0,Cuttack,Odisha
2001-02-17,0.0,Cuttack,Odisha
2001-02-18,0.0,Cuttack,Odisha
2001-02-19,0.0,Cuttack,Odisha
2001-02-20,0.0,Cuttack,Odisha
2001-02-21,0.0,Cuttack,Odisha
2001-02-22,0.0,Cuttack,Odisha
2001-02-23,0.0,Cuttack,Odisha
2001-02-24,0.0,Cuttack,Odisha
2001-02-25,0.0,Cuttack,Odisha
2001-02-26,0.0,Cuttack,Odisha
2001-02-27,0.0,Cuttack,Odisha
2001-02-28,0.0,Cuttack,Odisha
2001-03-01,0.0,Cuttack,Odisha
2001-03-02,0.0,Cuttack,Odisha
2001-03-03,0.0,Cuttack,Odisha
2001-03-04,0.0,Cuttack,Odisha
2001-03-05,0.0,Cuttack,Odisha
2001-03-06,3.314124584197998,Cuttack,Odisha
2001-03-07,0.0,Cuttack,Odisha
2001-03-08,0.0,Cuttack,Odisha
